PSNR - 0000.png: 5.2980, num_target: 10.0000, num_group: 10.0000
RSE - 0000.png: 0.7830, num_target: 10.0000, num_group: 10.0000
Time - 0000.png: 1.3597, num_target: 10.0000, num_group: 10.0000
PSNR - 0000.png: 6.8260, num_target: 10.0000, num_group: 15.0000
RSE - 0000.png: 0.6567, num_target: 10.0000, num_group: 15.0000
Time - 0000.png: 2.1852, num_target: 10.0000, num_group: 15.0000
PSNR - 0000.png: 7.2616, num_target: 10.0000, num_group: 20.0000
RSE - 0000.png: 0.6246, num_target: 10.0000, num_group: 20.0000
Time - 0000.png: 3.0352, num_target: 10.0000, num_group: 20.0000
PSNR - 0000.png: 7.6982, num_target: 10.0000, num_group: 25.0000
RSE - 0000.png: 0.5940, num_target: 10.0000, num_group: 25.0000
Time - 0000.png: 5.1540, num_target: 10.0000, num_group: 25.0000
PSNR - 0000.png: 8.3217, num_target: 10.0000, num_group: 30.0000
RSE - 0000.png: 0.5528, num_target: 10.0000, num_group: 30.0000
Time - 0000.png: 5.9916, num_target: 10.0000, num_group: 30.0000
PSNR - 0000.png: 8.1147, num_target: 10.0000, num_group: 35.0000
RSE - 0000.png: 0.5662, num_target: 10.0000, num_group: 35.0000
Time - 0000.png: 7.8715, num_target: 10.0000, num_group: 35.0000
PSNR - 0000.png: 8.3112, num_target: 10.0000, num_group: 40.0000
RSE - 0000.png: 0.5535, num_target: 10.0000, num_group: 40.0000
Time - 0000.png: 8.1050, num_target: 10.0000, num_group: 40.0000
PSNR - 0000.png: 10.9224, num_target: 10.0000, num_group: 45.0000
RSE - 0000.png: 0.4098, num_target: 10.0000, num_group: 45.0000
Time - 0000.png: 11.5759, num_target: 10.0000, num_group: 45.0000
PSNR - 0000.png: 10.7494, num_target: 10.0000, num_group: 50.0000
RSE - 0000.png: 0.4180, num_target: 10.0000, num_group: 50.0000
Time - 0000.png: 13.1617, num_target: 10.0000, num_group: 50.0000
PSNR - 0000.png: 6.7348, num_target: 15.0000, num_group: 10.0000
RSE - 0000.png: 0.6636, num_target: 15.0000, num_group: 10.0000
Time - 0000.png: 1.4622, num_target: 15.0000, num_group: 10.0000
PSNR - 0000.png: 7.6809, num_target: 15.0000, num_group: 15.0000
RSE - 0000.png: 0.5952, num_target: 15.0000, num_group: 15.0000
Time - 0000.png: 2.1731, num_target: 15.0000, num_group: 15.0000
PSNR - 0000.png: 9.3964, num_target: 15.0000, num_group: 20.0000
RSE - 0000.png: 0.4885, num_target: 15.0000, num_group: 20.0000
Time - 0000.png: 2.9930, num_target: 15.0000, num_group: 20.0000
PSNR - 0000.png: 10.1235, num_target: 15.0000, num_group: 25.0000
RSE - 0000.png: 0.4493, num_target: 15.0000, num_group: 25.0000
Time - 0000.png: 4.2313, num_target: 15.0000, num_group: 25.0000
PSNR - 0000.png: 9.4092, num_target: 15.0000, num_group: 30.0000
RSE - 0000.png: 0.4878, num_target: 15.0000, num_group: 30.0000
Time - 0000.png: 5.4788, num_target: 15.0000, num_group: 30.0000
PSNR - 0000.png: 10.3717, num_target: 15.0000, num_group: 35.0000
RSE - 0000.png: 0.4366, num_target: 15.0000, num_group: 35.0000
Time - 0000.png: 6.9007, num_target: 15.0000, num_group: 35.0000
PSNR - 0000.png: 9.1069, num_target: 15.0000, num_group: 40.0000
RSE - 0000.png: 0.5050, num_target: 15.0000, num_group: 40.0000
Time - 0000.png: 8.1500, num_target: 15.0000, num_group: 40.0000
PSNR - 0000.png: 12.5143, num_target: 15.0000, num_group: 45.0000
RSE - 0000.png: 0.3412, num_target: 15.0000, num_group: 45.0000
Time - 0000.png: 11.4792, num_target: 15.0000, num_group: 45.0000
PSNR - 0000.png: 10.1728, num_target: 15.0000, num_group: 50.0000
RSE - 0000.png: 0.4467, num_target: 15.0000, num_group: 50.0000
Time - 0000.png: 13.2315, num_target: 15.0000, num_group: 50.0000
PSNR - 0000.png: 7.3292, num_target: 20.0000, num_group: 10.0000
RSE - 0000.png: 0.6197, num_target: 20.0000, num_group: 10.0000
Time - 0000.png: 1.2919, num_target: 20.0000, num_group: 10.0000
PSNR - 0000.png: 8.0925, num_target: 20.0000, num_group: 15.0000
RSE - 0000.png: 0.5676, num_target: 20.0000, num_group: 15.0000
Time - 0000.png: 2.1659, num_target: 20.0000, num_group: 15.0000
