PSNR - 0000.png: 5.6078, num_target: 10.0000, num_group: 10.0000
RSE - 0000.png: 0.7556, num_target: 10.0000, num_group: 10.0000
Time - 0000.png: 0.6037, num_target: 10.0000, num_group: 10.0000
PSNR - 0000.png: 5.8277, num_target: 10.0000, num_group: 15.0000
RSE - 0000.png: 0.7367, num_target: 10.0000, num_group: 15.0000
Time - 0000.png: 0.9319, num_target: 10.0000, num_group: 15.0000
PSNR - 0000.png: 7.5303, num_target: 10.0000, num_group: 20.0000
RSE - 0000.png: 0.6056, num_target: 10.0000, num_group: 20.0000
Time - 0000.png: 1.1425, num_target: 10.0000, num_group: 20.0000
PSNR - 0000.png: 6.9045, num_target: 10.0000, num_group: 25.0000
RSE - 0000.png: 0.6508, num_target: 10.0000, num_group: 25.0000
Time - 0000.png: 1.7279, num_target: 10.0000, num_group: 25.0000
PSNR - 0000.png: 9.0432, num_target: 10.0000, num_group: 30.0000
RSE - 0000.png: 0.5088, num_target: 10.0000, num_group: 30.0000
Time - 0000.png: 2.0779, num_target: 10.0000, num_group: 30.0000
PSNR - 0000.png: 9.2780, num_target: 10.0000, num_group: 35.0000
RSE - 0000.png: 0.4952, num_target: 10.0000, num_group: 35.0000
Time - 0000.png: 2.6614, num_target: 10.0000, num_group: 35.0000
PSNR - 0000.png: 8.9859, num_target: 10.0000, num_group: 40.0000
RSE - 0000.png: 0.5121, num_target: 10.0000, num_group: 40.0000
Time - 0000.png: 3.3497, num_target: 10.0000, num_group: 40.0000
PSNR - 0000.png: 11.4345, num_target: 10.0000, num_group: 45.0000
RSE - 0000.png: 0.3863, num_target: 10.0000, num_group: 45.0000
Time - 0000.png: 4.2818, num_target: 10.0000, num_group: 45.0000
PSNR - 0000.png: 9.7247, num_target: 10.0000, num_group: 50.0000
RSE - 0000.png: 0.4704, num_target: 10.0000, num_group: 50.0000
Time - 0000.png: 4.8157, num_target: 10.0000, num_group: 50.0000
PSNR - 0000.png: 5.9850, num_target: 15.0000, num_group: 10.0000
RSE - 0000.png: 0.7235, num_target: 15.0000, num_group: 10.0000
Time - 0000.png: 0.5308, num_target: 15.0000, num_group: 10.0000
PSNR - 0000.png: 8.4920, num_target: 15.0000, num_group: 15.0000
RSE - 0000.png: 0.5421, num_target: 15.0000, num_group: 15.0000
Time - 0000.png: 0.7368, num_target: 15.0000, num_group: 15.0000
PSNR - 0000.png: 9.1730, num_target: 15.0000, num_group: 20.0000
RSE - 0000.png: 0.5012, num_target: 15.0000, num_group: 20.0000
Time - 0000.png: 1.2539, num_target: 15.0000, num_group: 20.0000
PSNR - 0000.png: 8.8428, num_target: 15.0000, num_group: 25.0000
RSE - 0000.png: 0.5206, num_target: 15.0000, num_group: 25.0000
Time - 0000.png: 1.8024, num_target: 15.0000, num_group: 25.0000
PSNR - 0000.png: 10.7074, num_target: 15.0000, num_group: 30.0000
RSE - 0000.png: 0.4201, num_target: 15.0000, num_group: 30.0000
Time - 0000.png: 2.3464, num_target: 15.0000, num_group: 30.0000
PSNR - 0000.png: 11.4367, num_target: 15.0000, num_group: 35.0000
RSE - 0000.png: 0.3862, num_target: 15.0000, num_group: 35.0000
Time - 0000.png: 3.2164, num_target: 15.0000, num_group: 35.0000
PSNR - 0000.png: 12.8125, num_target: 15.0000, num_group: 40.0000
RSE - 0000.png: 0.3296, num_target: 15.0000, num_group: 40.0000
Time - 0000.png: 3.0790, num_target: 15.0000, num_group: 40.0000
PSNR - 0000.png: 7.9757, num_target: 15.0000, num_group: 45.0000
RSE - 0000.png: 0.5753, num_target: 15.0000, num_group: 45.0000
Time - 0000.png: 4.1356, num_target: 15.0000, num_group: 45.0000
PSNR - 0000.png: 12.5580, num_target: 15.0000, num_group: 50.0000
RSE - 0000.png: 0.3394, num_target: 15.0000, num_group: 50.0000
Time - 0000.png: 5.2236, num_target: 15.0000, num_group: 50.0000
PSNR - 0000.png: 6.9864, num_target: 20.0000, num_group: 10.0000
RSE - 0000.png: 0.6447, num_target: 20.0000, num_group: 10.0000
Time - 0000.png: 0.5094, num_target: 20.0000, num_group: 10.0000
PSNR - 0000.png: 8.8509, num_target: 20.0000, num_group: 15.0000
RSE - 0000.png: 0.5201, num_target: 20.0000, num_group: 15.0000
Time - 0000.png: 0.8276, num_target: 20.0000, num_group: 15.0000
PSNR - 0000.png: 10.2665, num_target: 20.0000, num_group: 20.0000
RSE - 0000.png: 0.4419, num_target: 20.0000, num_group: 20.0000
Time - 0000.png: 1.1511, num_target: 20.0000, num_group: 20.0000
PSNR - 0000.png: 11.5968, num_target: 20.0000, num_group: 25.0000
RSE - 0000.png: 0.3792, num_target: 20.0000, num_group: 25.0000
Time - 0000.png: 1.7133, num_target: 20.0000, num_group: 25.0000
PSNR - 0000.png: 11.0152, num_target: 20.0000, num_group: 30.0000
RSE - 0000.png: 0.4054, num_target: 20.0000, num_group: 30.0000
Time - 0000.png: 2.0421, num_target: 20.0000, num_group: 30.0000
PSNR - 0000.png: 12.6864, num_target: 20.0000, num_group: 35.0000
RSE - 0000.png: 0.3345, num_target: 20.0000, num_group: 35.0000
Time - 0000.png: 3.3399, num_target: 20.0000, num_group: 35.0000
PSNR - 0000.png: 14.1978, num_target: 20.0000, num_group: 40.0000
RSE - 0000.png: 0.2810, num_target: 20.0000, num_group: 40.0000
Time - 0000.png: 3.1506, num_target: 20.0000, num_group: 40.0000
PSNR - 0000.png: 16.1586, num_target: 20.0000, num_group: 45.0000
RSE - 0000.png: 0.2243, num_target: 20.0000, num_group: 45.0000
Time - 0000.png: 4.7268, num_target: 20.0000, num_group: 45.0000
PSNR - 0000.png: 15.7251, num_target: 20.0000, num_group: 50.0000
RSE - 0000.png: 0.2357, num_target: 20.0000, num_group: 50.0000
Time - 0000.png: 4.8663, num_target: 20.0000, num_group: 50.0000
PSNR - 0000.png: 8.1014, num_target: 25.0000, num_group: 10.0000
RSE - 0000.png: 0.5670, num_target: 25.0000, num_group: 10.0000
Time - 0000.png: 0.4855, num_target: 25.0000, num_group: 10.0000
PSNR - 0000.png: 9.9204, num_target: 25.0000, num_group: 15.0000
RSE - 0000.png: 0.4599, num_target: 25.0000, num_group: 15.0000
Time - 0000.png: 0.8189, num_target: 25.0000, num_group: 15.0000
PSNR - 0000.png: 10.9172, num_target: 25.0000, num_group: 20.0000
RSE - 0000.png: 0.4100, num_target: 25.0000, num_group: 20.0000
Time - 0000.png: 1.1486, num_target: 25.0000, num_group: 20.0000
PSNR - 0000.png: 12.0099, num_target: 25.0000, num_group: 25.0000
RSE - 0000.png: 0.3616, num_target: 25.0000, num_group: 25.0000
Time - 0000.png: 1.7021, num_target: 25.0000, num_group: 25.0000
PSNR - 0000.png: 15.8393, num_target: 25.0000, num_group: 30.0000
RSE - 0000.png: 0.2327, num_target: 25.0000, num_group: 30.0000
Time - 0000.png: 2.6461, num_target: 25.0000, num_group: 30.0000
PSNR - 0000.png: 14.6207, num_target: 25.0000, num_group: 35.0000
RSE - 0000.png: 0.2677, num_target: 25.0000, num_group: 35.0000
Time - 0000.png: 2.8051, num_target: 25.0000, num_group: 35.0000
PSNR - 0000.png: 18.5986, num_target: 25.0000, num_group: 40.0000
RSE - 0000.png: 0.1693, num_target: 25.0000, num_group: 40.0000
Time - 0000.png: 3.4513, num_target: 25.0000, num_group: 40.0000
PSNR - 0000.png: 14.9155, num_target: 25.0000, num_group: 45.0000
RSE - 0000.png: 0.2588, num_target: 25.0000, num_group: 45.0000
Time - 0000.png: 3.9580, num_target: 25.0000, num_group: 45.0000
PSNR - 0000.png: 16.5479, num_target: 25.0000, num_group: 50.0000
RSE - 0000.png: 0.2144, num_target: 25.0000, num_group: 50.0000
Time - 0000.png: 5.1281, num_target: 25.0000, num_group: 50.0000
PSNR - 0000.png: 8.5390, num_target: 30.0000, num_group: 10.0000
RSE - 0000.png: 0.5392, num_target: 30.0000, num_group: 10.0000
Time - 0000.png: 0.5164, num_target: 30.0000, num_group: 10.0000
PSNR - 0000.png: 10.9072, num_target: 30.0000, num_group: 15.0000
RSE - 0000.png: 0.4105, num_target: 30.0000, num_group: 15.0000
Time - 0000.png: 0.7650, num_target: 30.0000, num_group: 15.0000
PSNR - 0000.png: 14.0371, num_target: 30.0000, num_group: 20.0000
RSE - 0000.png: 0.2863, num_target: 30.0000, num_group: 20.0000
Time - 0000.png: 1.1347, num_target: 30.0000, num_group: 20.0000
PSNR - 0000.png: 12.9853, num_target: 30.0000, num_group: 25.0000
RSE - 0000.png: 0.3232, num_target: 30.0000, num_group: 25.0000
Time - 0000.png: 1.6713, num_target: 30.0000, num_group: 25.0000
PSNR - 0000.png: 13.7144, num_target: 30.0000, num_group: 30.0000
RSE - 0000.png: 0.2971, num_target: 30.0000, num_group: 30.0000
Time - 0000.png: 2.0111, num_target: 30.0000, num_group: 30.0000
PSNR - 0000.png: 12.5154, num_target: 30.0000, num_group: 35.0000
RSE - 0000.png: 0.3411, num_target: 30.0000, num_group: 35.0000
Time - 0000.png: 2.9702, num_target: 30.0000, num_group: 35.0000
PSNR - 0000.png: 14.9162, num_target: 30.0000, num_group: 40.0000
RSE - 0000.png: 0.2587, num_target: 30.0000, num_group: 40.0000
Time - 0000.png: 3.6769, num_target: 30.0000, num_group: 40.0000
PSNR - 0000.png: 16.2934, num_target: 30.0000, num_group: 45.0000
RSE - 0000.png: 0.2208, num_target: 30.0000, num_group: 45.0000
Time - 0000.png: 4.1486, num_target: 30.0000, num_group: 45.0000
PSNR - 0000.png: 15.6888, num_target: 30.0000, num_group: 50.0000
RSE - 0000.png: 0.2367, num_target: 30.0000, num_group: 50.0000
Time - 0000.png: 4.7307, num_target: 30.0000, num_group: 50.0000
PSNR - 0000.png: 7.5114, num_target: 35.0000, num_group: 10.0000
RSE - 0000.png: 0.6069, num_target: 35.0000, num_group: 10.0000
Time - 0000.png: 0.6044, num_target: 35.0000, num_group: 10.0000
PSNR - 0000.png: 13.4343, num_target: 35.0000, num_group: 15.0000
RSE - 0000.png: 0.3069, num_target: 35.0000, num_group: 15.0000
Time - 0000.png: 0.7475, num_target: 35.0000, num_group: 15.0000
PSNR - 0000.png: 14.1229, num_target: 35.0000, num_group: 20.0000
RSE - 0000.png: 0.2835, num_target: 35.0000, num_group: 20.0000
Time - 0000.png: 1.1047, num_target: 35.0000, num_group: 20.0000
PSNR - 0000.png: 15.0614, num_target: 35.0000, num_group: 25.0000
RSE - 0000.png: 0.2545, num_target: 35.0000, num_group: 25.0000
Time - 0000.png: 1.9731, num_target: 35.0000, num_group: 25.0000
PSNR - 0000.png: 13.8296, num_target: 35.0000, num_group: 30.0000
RSE - 0000.png: 0.2932, num_target: 35.0000, num_group: 30.0000
Time - 0000.png: 2.0526, num_target: 35.0000, num_group: 30.0000
PSNR - 0000.png: 16.7621, num_target: 35.0000, num_group: 35.0000
RSE - 0000.png: 0.2092, num_target: 35.0000, num_group: 35.0000
Time - 0000.png: 2.7839, num_target: 35.0000, num_group: 35.0000
PSNR - 0000.png: 19.7534, num_target: 35.0000, num_group: 40.0000
RSE - 0000.png: 0.1483, num_target: 35.0000, num_group: 40.0000
